[2018-04-17 14:15:50,631][generate_corpus.py:43::<module>()][INFO] Generate corpus\610.corpus
[2018-04-17 14:15:50,693][generate_corpus.py:43::<module>()][INFO] Generate corpus\611.corpus
[2018-04-17 14:15:50,896][generate_corpus.py:43::<module>()][INFO] Generate corpus\612.corpus
[2018-04-17 14:15:51,053][generate_corpus.py:43::<module>()][INFO] Generate corpus\613.corpus
[2018-04-17 14:15:51,404][generate_corpus.py:43::<module>()][INFO] Generate corpus\614.corpus
[2018-04-17 14:15:51,827][generate_corpus.py:43::<module>()][INFO] Generate corpus\615.corpus
[2018-04-17 14:15:51,968][generate_corpus.py:43::<module>()][INFO] Generate corpus\616.corpus
[2018-04-17 14:15:52,263][generate_corpus.py:43::<module>()][INFO] Generate corpus\617.corpus
[2018-04-17 14:15:52,450][generate_corpus.py:43::<module>()][INFO] Generate corpus\618.corpus
[2018-04-17 14:15:52,888][generate_corpus.py:43::<module>()][INFO] Generate corpus\619.corpus
[2018-04-17 14:15:53,359][generate_corpus.py:43::<module>()][INFO] Generate corpus\620.corpus
[2018-04-17 14:15:53,504][generate_corpus.py:45::<module>()][WARNING] 621.html: 1 tags found
[2018-04-17 14:15:53,580][generate_corpus.py:43::<module>()][INFO] Generate corpus\622.corpus
[2018-04-17 14:15:54,004][generate_corpus.py:43::<module>()][INFO] Generate corpus\623.corpus
[2018-04-17 14:15:54,263][generate_corpus.py:43::<module>()][INFO] Generate corpus\624.corpus
[2018-04-17 14:15:54,950][generate_corpus.py:43::<module>()][INFO] Generate corpus\625.corpus
[2018-04-17 14:15:55,153][generate_corpus.py:43::<module>()][INFO] Generate corpus\626.corpus
[2018-04-17 14:15:55,420][generate_corpus.py:43::<module>()][INFO] Generate corpus\627.corpus
[2018-04-17 14:15:55,607][generate_corpus.py:43::<module>()][INFO] Generate corpus\628.corpus
[2018-04-17 14:15:55,904][generate_corpus.py:43::<module>()][INFO] Generate corpus\629.corpus
[2018-04-17 14:15:56,232][generate_corpus.py:43::<module>()][INFO] Generate corpus\630.corpus
[2018-04-17 14:15:56,810][generate_corpus.py:43::<module>()][INFO] Generate corpus\631.corpus
[2018-04-17 14:15:56,997][generate_corpus.py:43::<module>()][INFO] Generate corpus\632.corpus
[2018-04-17 14:15:57,122][generate_corpus.py:43::<module>()][INFO] Generate corpus\633.corpus
[2018-04-17 14:15:57,872][generate_corpus.py:43::<module>()][INFO] Generate corpus\634.corpus
[2018-04-17 14:15:58,122][generate_corpus.py:43::<module>()][INFO] Generate corpus\635.corpus
[2018-04-17 14:15:58,435][generate_corpus.py:43::<module>()][INFO] Generate corpus\636.corpus
[2018-04-17 14:15:58,560][generate_corpus.py:43::<module>()][INFO] Generate corpus\637.corpus
[2018-04-17 14:15:58,737][generate_corpus.py:43::<module>()][INFO] Generate corpus\638.corpus
[2018-04-17 14:15:58,812][generate_corpus.py:43::<module>()][INFO] Generate corpus\639.corpus
[2018-04-17 14:15:59,093][generate_corpus.py:43::<module>()][INFO] Generate corpus\640.corpus
[2018-04-17 14:15:59,207][generate_corpus.py:43::<module>()][INFO] Generate corpus\641.corpus
[2018-04-17 14:15:59,326][generate_corpus.py:43::<module>()][INFO] Generate corpus\642.corpus
[2018-04-17 14:15:59,531][generate_corpus.py:43::<module>()][INFO] Generate corpus\643.corpus
[2018-04-17 14:15:59,668][generate_corpus.py:43::<module>()][INFO] Generate corpus\644.corpus
[2018-04-17 14:15:59,967][generate_corpus.py:45::<module>()][WARNING] 645.html: 0 tags found
[2018-04-17 14:16:00,348][generate_corpus.py:43::<module>()][INFO] Generate corpus\646.corpus
[2018-04-17 14:16:00,468][generate_corpus.py:43::<module>()][INFO] Generate corpus\647.corpus
[2018-04-17 14:16:00,850][generate_corpus.py:43::<module>()][INFO] Generate corpus\648.corpus
[2018-04-17 14:16:01,001][generate_corpus.py:43::<module>()][INFO] Generate corpus\649.corpus
[2018-04-17 14:16:01,204][generate_corpus.py:43::<module>()][INFO] Generate corpus\650.corpus
[2018-04-17 14:16:01,366][generate_corpus.py:43::<module>()][INFO] Generate corpus\651.corpus
[2018-04-17 14:16:01,474][generate_corpus.py:43::<module>()][INFO] Generate corpus\652.corpus
[2018-04-17 14:16:01,690][generate_corpus.py:43::<module>()][INFO] Generate corpus\653.corpus
